exercise_slug,muscle_slug,role
band_row,upper_back,secondary
band_row,biceps,secondary
trx_row,lats,primary
trx_row,upper_back,secondary
trx_row,biceps,secondary
trx_row,rectus_abdominis,stabiliser
lat_pulldown,lats,primary
lat_pulldown,upper_back,secondary
lat_pulldown,biceps,secondary
db_tricep_ext,triceps,primary
goblet_squat,quadriceps,primary
goblet_squat,glutes,primary
goblet_squat,erector_spinae,stabiliser
goblet_squat,rectus_abdominis,stabiliser
bb_back_squat,quadriceps,primary
bb_back_squat,glutes,primary
bb_back_squat,hamstrings,secondary
bb_back_squat,erector_spinae,stabiliser
bb_front_squat,quadriceps,primary
bb_front_squat,glutes,secondary
bb_front_squat,erector_spinae,stabiliser
bb_front_squat,rectus_abdominis,stabiliser
bulgarian_split_squat,quadriceps,primary
bulgarian_split_squat,glutes,primary
bulgarian_split_squat,hip_flexors,secondary
bulgarian_split_squat,hamstrings,stabiliser
forward_lunge,quadriceps,primary
forward_lunge,glutes,secondary
forward_lunge,hamstrings,secondary
forward_lunge,calves,stabiliser
reverse_lunge,glutes,primary
reverse_lunge,quadriceps,secondary
reverse_lunge,hamstrings,secondary
lateral_lunge,adductors,primary
lateral_lunge,quadriceps,secondary
lateral_lunge,glutes,secondary
step_up,quadriceps,primary
step_up,glutes,primary
step_up,hamstrings,secondary
step_up,calves,stabiliser
rdl,hamstrings,primary
rdl,glutes,secondary
rdl,erector_spinae,secondary
deadlift,hamstrings,primary
deadlift,glutes,primary
deadlift,erector_spinae,primary
deadlift,lats,secondary
deadlift,upper_back,secondary
deadlift,quadriceps,secondary
sumo_deadlift,adductors,primary
sumo_deadlift,glutes,primary
sumo_deadlift,hamstrings,secondary
sumo_deadlift,erector_spinae,secondary
bb_hip_thrust,glutes,primary
bb_hip_thrust,hamstrings,secondary
bb_hip_thrust,erector_spinae,stabiliser
calf_raise_standing,calves,primary
calf_raise_standing,tibialis,stabiliser
calf_raise_seated,calves,primary
single_leg_rdl,hamstrings,primary
single_leg_rdl,glutes,primary
single_leg_rdl,erector_spinae,stabiliser
box_jump,quadriceps,primary
box_jump,glutes,primary
box_jump,calves,secondary
box_jump,rectus_abdominis,stabiliser
jump_squat,quadriceps,primary
jump_squat,glutes,primary
jump_squat,calves,secondary
jump_squat,rectus_abdominis,stabiliser
side_plank,obliques,primary
side_plank,glutes,secondary
side_plank,deltoids,stabiliser
dead_bug,rectus_abdominis,primary
dead_bug,transverse_abdominis,primary
dead_bug,hip_flexors,secondary
hollow_body,rectus_abdominis,primary
hollow_body,transverse_abdominis,secondary
hollow_body,hip_flexors,secondary
mountain_climbers,rectus_abdominis,primary
mountain_climbers,hip_flexors,primary
mountain_climbers,quadriceps,secondary
mountain_climbers,deltoids,stabiliser
bicycle_crunch,obliques,primary
bicycle_crunch,rectus_abdominis,secondary
bicycle_crunch,hip_flexors,secondary
hanging_leg_raise,rectus_abdominis,primary
hanging_leg_raise,hip_flexors,primary
hanging_leg_raise,obliques,secondary
reverse_crunch,rectus_abdominis,primary
reverse_crunch,hip_flexors,secondary
reverse_crunch,transverse_abdominis,secondary
russian_twist,obliques,primary
russian_twist,rectus_abdominis,secondary
ab_wheel_rollout,rectus_abdominis,primary
ab_wheel_rollout,transverse_abdominis,primary
ab_wheel_rollout,lats,secondary
ab_wheel_rollout,deltoids,stabiliser
pallof_press,transverse_abdominis,primary
pallof_press,obliques,primary
pallof_press,rectus_abdominis,secondary
woodchopper,obliques,primary
woodchopper,rectus_abdominis,secondary
woodchopper,deltoids,secondary
high_knees,hip_flexors,primary
high_knees,quadriceps,secondary
high_knees,calves,secondary
high_knees,rectus_abdominis,stabiliser
butt_kicks,hamstrings,primary
butt_kicks,glutes,secondary
butt_kicks,calves,secondary
jump_rope_basic,calves,primary
jump_rope_basic,quadriceps,secondary
jump_rope_basic,deltoids,secondary
jump_rope_basic,rectus_abdominis,stabiliser
march_in_place,hip_flexors,primary
march_in_place,quadriceps,secondary
lateral_shuffle,glutes,primary
lateral_shuffle,adductors,secondary
lateral_shuffle,abductors,secondary
box_step,quadriceps,primary
box_step,glutes,secondary
box_step,calves,secondary
skater_hops,glutes,primary
skater_hops,adductors,secondary
skater_hops,calves,secondary
tuck_jump,quadriceps,primary
tuck_jump,glutes,secondary
tuck_jump,rectus_abdominis,secondary
plank_to_pushup,rectus_abdominis,primary
plank_to_pushup,chest,secondary
plank_to_pushup,triceps,secondary
plank_to_pushup,deltoids,stabiliser
kb_swing,glutes,primary
kb_swing,hamstrings,primary
kb_swing,erector_spinae,secondary
kb_swing,deltoids,stabiliser
kb_swing,rectus_abdominis,stabiliser
speed_skaters,glutes,primary
speed_skaters,adductors,primary
speed_skaters,calves,secondary
explosive_pushup,chest,primary
explosive_pushup,triceps,secondary
explosive_pushup,deltoids,secondary
downward_dog,hamstrings,primary
downward_dog,calves,primary
downward_dog,deltoids,secondary
downward_dog,lats,secondary
pigeon_pose,hip_flexors,primary
pigeon_pose,glutes,primary
kneeling_hip_flexor,hip_flexors,primary
kneeling_hip_flexor,quadriceps,secondary
seated_hamstring,hamstrings,primary
standing_quad,quadriceps,primary
chest_opener,chest,primary
chest_opener,deltoids,secondary
thoracic_rotation,erector_spinae,primary
thoracic_rotation,obliques,secondary
neck_rolls,upper_back,primary
figure_four,glutes,primary
figure_four,hip_flexors,secondary
seated_spinal_twist,erector_spinae,primary
seated_spinal_twist,obliques,secondary
clamshell,glutes,primary
clamshell,abductors,primary
fire_hydrant,glutes,primary
fire_hydrant,abductors,primary
seated_leg_ext,quadriceps,primary
ankle_circles,tibialis,primary
ankle_circles,calves,secondary
shoulder_blade_squeeze,upper_back,primary
shoulder_blade_squeeze,rhomboids,primary
chin_tuck,upper_back,primary
wall_angels,deltoids,primary
wall_angels,upper_back,secondary
wall_angels,rotator_cuff,secondary
supine_hamstring,hamstrings,primary
pelvic_tilt,transverse_abdominis,primary
pelvic_tilt,erector_spinae,secondary
seated_marching,hip_flexors,primary
seated_marching,quadriceps,secondary
seated_cat_cow,erector_spinae,primary
seated_cat_cow,rectus_abdominis,secondary
desk_pushup,chest,primary
desk_pushup,triceps,secondary
desk_pushup,deltoids,stabiliser
chair_squat,quadriceps,primary
chair_squat,glutes,primary
chair_squat,hamstrings,secondary
seated_core_squeeze,transverse_abdominis,primary
seated_core_squeeze,rectus_abdominis,secondary
wrist_flexor_stretch,forearms,primary
shoulder_rolls,upper_back,primary
shoulder_rolls,deltoids,secondary
desk_calf_raise,calves,primary
seated_glute_squeeze,glutes,primary
band_squat,quadriceps,primary
band_squat,glutes,primary
band_squat,hamstrings,secondary
band_deadlift,hamstrings,primary
band_deadlift,glutes,secondary
band_deadlift,erector_spinae,secondary
band_lateral_walk,glutes,primary
band_lateral_walk,abductors,primary
band_bicep_curl,biceps,primary
band_bicep_curl,forearms,stabiliser
kb_goblet_squat,quadriceps,primary
kb_goblet_squat,glutes,primary
kb_goblet_squat,erector_spinae,stabiliser
kb_deadlift,hamstrings,primary
kb_deadlift,glutes,primary
kb_deadlift,erector_spinae,secondary
db_walking_lunge,quadriceps,primary
db_walking_lunge,glutes,primary
db_walking_lunge,hamstrings,secondary
db_step_up,quadriceps,primary
db_step_up,glutes,primary
db_step_up,hamstrings,secondary
superman_hold,erector_spinae,primary
superman_hold,glutes,secondary
superman_hold,upper_back,secondary
prone_cobra,erector_spinae,primary
prone_cobra,upper_back,primary
prone_cobra,deltoids,secondary
inchworm,hamstrings,primary
inchworm,deltoids,secondary
inchworm,rectus_abdominis,stabiliser
bear_crawl,deltoids,primary
bear_crawl,rectus_abdominis,primary
bear_crawl,quadriceps,secondary
farmers_carry,forearms,primary
farmers_carry,upper_back,primary
farmers_carry,erector_spinae,secondary
farmers_carry,rectus_abdominis,stabiliser
turkish_getup,deltoids,primary
turkish_getup,rectus_abdominis,primary
turkish_getup,glutes,secondary
lateral_band_walk,glutes,primary
lateral_band_walk,abductors,primary
lateral_band_walk,quadriceps,stabiliser
single_leg_balance,calves,primary
single_leg_balance,tibialis,secondary
single_leg_balance,glutes,stabiliser
sun_salutation_a,hamstrings,primary
sun_salutation_a,deltoids,secondary
sun_salutation_a,chest,secondary
warrior_1,quadriceps,primary
warrior_1,hip_flexors,secondary
warrior_1,glutes,secondary
warrior_2,adductors,primary
warrior_2,quadriceps,secondary
warrior_2,glutes,secondary
bridge_leg_ext,glutes,primary
bridge_leg_ext,hamstrings,secondary
bridge_leg_ext,erector_spinae,stabiliser
sumo_squat_pulse,adductors,primary
sumo_squat_pulse,quadriceps,secondary
sumo_squat_pulse,glutes,secondary
foam_roll_tspine,erector_spinae,primary
foam_roll_tspine,upper_back,secondary
foam_roll_quads,quadriceps,primary
foam_roll_it_band,abductors,primary
