exercise_slug,equipment_slug,is_required,is_alternative,difficulty_modifier
butt_kicks,bodyweight,true,false,0
jump_rope_basic,jump_rope,true,false,0
march_in_place,bodyweight,true,false,0
lateral_shuffle,bodyweight,true,false,0
box_step,steps,false,false,0
box_step,bodyweight,true,false,0
skater_hops,bodyweight,true,false,0
tuck_jump,bodyweight,true,false,0
plank_to_pushup,bodyweight,true,false,0
plank_to_pushup,yoga_mat,false,false,0
kb_swing,kettlebell,true,false,0
speed_skaters,bodyweight,true,false,0
explosive_pushup,bodyweight,true,false,0
downward_dog,bodyweight,true,false,0
downward_dog,yoga_mat,false,false,0
pigeon_pose,bodyweight,true,false,0
pigeon_pose,yoga_mat,false,false,0
kneeling_hip_flexor,bodyweight,true,false,0
kneeling_hip_flexor,yoga_mat,false,false,0
seated_hamstring,bodyweight,true,false,0
seated_hamstring,yoga_mat,false,false,0
standing_quad,bodyweight,true,false,0
chest_opener,bodyweight,true,false,0
thoracic_rotation,bodyweight,true,false,0
thoracic_rotation,yoga_mat,false,false,0
neck_rolls,bodyweight,true,false,0
figure_four,bodyweight,true,false,0
figure_four,yoga_mat,false,false,0
seated_spinal_twist,bodyweight,true,false,0
seated_spinal_twist,yoga_mat,false,false,0
clamshell,bodyweight,true,false,0
clamshell,resistance_bands,false,false,1
clamshell,yoga_mat,false,false,0
fire_hydrant,bodyweight,true,false,0
fire_hydrant,yoga_mat,false,false,0
seated_leg_ext,bodyweight,true,false,0
seated_leg_ext,office_chair,false,false,0
ankle_circles,bodyweight,true,false,0
shoulder_blade_squeeze,bodyweight,true,false,0
chin_tuck,bodyweight,true,false,0
wall_angels,bodyweight,true,false,0
wall_angels,wall,false,false,0
supine_hamstring,bodyweight,true,false,0
supine_hamstring,yoga_mat,false,false,0
pelvic_tilt,bodyweight,true,false,0
pelvic_tilt,yoga_mat,false,false,0
seated_marching,bodyweight,true,false,0
seated_marching,office_chair,false,false,0
seated_cat_cow,bodyweight,true,false,0
desk_pushup,bodyweight,true,false,0
chair_squat,bodyweight,true,false,0
chair_squat,office_chair,false,false,0
seated_core_squeeze,bodyweight,true,false,0
seated_core_squeeze,office_chair,false,false,0
wrist_flexor_stretch,bodyweight,true,false,0
shoulder_rolls,bodyweight,true,false,0
desk_calf_raise,bodyweight,true,false,0
seated_glute_squeeze,bodyweight,true,false,0
band_squat,resistance_bands,true,false,0
band_deadlift,resistance_bands,true,false,0
band_lateral_walk,resistance_bands,true,false,0
band_bicep_curl,resistance_bands,true,false,0
kb_goblet_squat,kettlebell,true,false,0
kb_deadlift,kettlebell,true,false,0
db_walking_lunge,dumbbells,true,false,0
db_step_up,dumbbells,true,false,0
db_step_up,steps,false,false,0
superman_hold,bodyweight,true,false,0
superman_hold,yoga_mat,false,false,0
prone_cobra,bodyweight,true,false,0
prone_cobra,yoga_mat,false,false,0
inchworm,bodyweight,true,false,0
bear_crawl,bodyweight,true,false,0
farmers_carry,dumbbells,true,false,0
farmers_carry,kettlebell,false,true,0
turkish_getup,kettlebell,true,false,0
turkish_getup,yoga_mat,false,false,0
lateral_band_walk,resistance_bands,true,false,0
single_leg_balance,bodyweight,true,false,0
sun_salutation_a,bodyweight,true,false,0
sun_salutation_a,yoga_mat,false,false,0
warrior_1,bodyweight,true,false,0
warrior_1,yoga_mat,false,false,0
warrior_2,bodyweight,true,false,0
warrior_2,yoga_mat,false,false,0
bridge_leg_ext,bodyweight,true,false,0
bridge_leg_ext,yoga_mat,false,false,0
sumo_squat_pulse,bodyweight,true,false,0
sumo_squat_pulse,dumbbells,false,false,1
foam_roll_tspine,foam_roller,true,false,0
foam_roll_quads,foam_roller,true,false,0
foam_roll_it_band,foam_roller,true,false,0
