exercise_slug,location
bb_hip_thrust,gym
calf_raise_standing,home
calf_raise_standing,gym
calf_raise_standing,office
calf_raise_standing,outdoor
calf_raise_seated,gym
calf_raise_seated,home
single_leg_rdl,gym
single_leg_rdl,home
box_jump,gym
box_jump,outdoor
jump_squat,home
jump_squat,gym
jump_squat,outdoor
side_plank,home
side_plank,gym
side_plank,hotel
side_plank,outdoor
dead_bug,home
dead_bug,gym
dead_bug,hotel
hollow_body,home
hollow_body,gym
mountain_climbers,home
mountain_climbers,gym
mountain_climbers,hotel
mountain_climbers,outdoor
bicycle_crunch,home
bicycle_crunch,gym
bicycle_crunch,hotel
hanging_leg_raise,gym
hanging_leg_raise,home
reverse_crunch,home
reverse_crunch,gym
russian_twist,home
russian_twist,gym
ab_wheel_rollout,gym
ab_wheel_rollout,home
pallof_press,gym
pallof_press,home
woodchopper,gym
woodchopper,home
high_knees,home
high_knees,gym
high_knees,outdoor
high_knees,hotel
butt_kicks,home
butt_kicks,gym
butt_kicks,outdoor
jump_rope_basic,home
jump_rope_basic,outdoor
jump_rope_basic,hotel
march_in_place,home
march_in_place,office
march_in_place,hotel
lateral_shuffle,gym
lateral_shuffle,outdoor
box_step,gym
box_step,home
box_step,office
skater_hops,home
skater_hops,gym
skater_hops,outdoor
tuck_jump,gym
tuck_jump,outdoor
plank_to_pushup,home
plank_to_pushup,gym
plank_to_pushup,hotel
kb_swing,gym
kb_swing,home
speed_skaters,home
speed_skaters,gym
speed_skaters,outdoor
explosive_pushup,gym
explosive_pushup,outdoor
downward_dog,home
downward_dog,gym
downward_dog,hotel
pigeon_pose,home
pigeon_pose,gym
pigeon_pose,hotel
kneeling_hip_flexor,home
kneeling_hip_flexor,gym
kneeling_hip_flexor,office
kneeling_hip_flexor,hotel
seated_hamstring,home
seated_hamstring,gym
seated_hamstring,office
standing_quad,home
standing_quad,gym
standing_quad,office
standing_quad,outdoor
chest_opener,home
chest_opener,gym
chest_opener,office
chest_opener,outdoor
thoracic_rotation,home
thoracic_rotation,gym
thoracic_rotation,office
neck_rolls,home
neck_rolls,office
neck_rolls,hotel
figure_four,home
figure_four,gym
figure_four,office
seated_spinal_twist,home
seated_spinal_twist,gym
seated_spinal_twist,office
clamshell,home
clamshell,gym
clamshell,hotel
fire_hydrant,home
fire_hydrant,gym
fire_hydrant,hotel
seated_leg_ext,office
seated_leg_ext,home
ankle_circles,home
ankle_circles,office
ankle_circles,hotel
shoulder_blade_squeeze,home
shoulder_blade_squeeze,office
shoulder_blade_squeeze,hotel
chin_tuck,home
chin_tuck,office
chin_tuck,hotel
wall_angels,home
wall_angels,gym
wall_angels,office
supine_hamstring,home
supine_hamstring,gym
supine_hamstring,hotel
pelvic_tilt,home
pelvic_tilt,gym
pelvic_tilt,hotel
seated_marching,home
seated_marching,office
seated_cat_cow,home
seated_cat_cow,office
seated_cat_cow,hotel
desk_pushup,office
desk_pushup,home
desk_pushup,hotel
chair_squat,office
chair_squat,home
seated_core_squeeze,office
seated_core_squeeze,home
wrist_flexor_stretch,office
wrist_flexor_stretch,home
wrist_flexor_stretch,hotel
shoulder_rolls,office
shoulder_rolls,home
shoulder_rolls,hotel
desk_calf_raise,office
desk_calf_raise,home
seated_glute_squeeze,office
seated_glute_squeeze,home
band_squat,home
band_squat,hotel
band_lateral_walk,home
band_lateral_walk,hotel
band_bicep_curl,home
band_bicep_curl,hotel
band_bicep_curl,office
band_deadlift,home
band_deadlift,hotel
kb_goblet_squat,gym
kb_goblet_squat,home
kb_deadlift,gym
kb_deadlift,home
db_walking_lunge,gym
db_walking_lunge,outdoor
db_step_up,gym
db_step_up,home
superman_hold,home
superman_hold,gym
superman_hold,hotel
prone_cobra,home
prone_cobra,gym
inchworm,home
inchworm,gym
inchworm,outdoor
bear_crawl,gym
bear_crawl,outdoor
farmers_carry,gym
farmers_carry,outdoor
turkish_getup,gym
turkish_getup,home
lateral_band_walk,home
lateral_band_walk,hotel
lateral_band_walk,gym
single_leg_balance,home
single_leg_balance,office
single_leg_balance,gym
sun_salutation_a,home
sun_salutation_a,hotel
warrior_1,home
warrior_1,hotel
warrior_2,home
warrior_2,hotel
bridge_leg_ext,home
bridge_leg_ext,gym
bridge_leg_ext,hotel
sumo_squat_pulse,home
sumo_squat_pulse,hotel
foam_roll_tspine,gym
foam_roll_tspine,home
foam_roll_quads,gym
foam_roll_quads,home
foam_roll_it_band,gym
foam_roll_it_band,home
